X1 X2 C
0.456317662643 0.997243011022 3
0.564833665602 0.0803044249151 1
0.65566851611 0.958219943171 2
0.68799517391 0.286987764264 1
0.0466398686758 0.662015751121 2
0.740878493727 0.513673978892 1
0.328014322382 0.824791224426 2
0.290789915424 0.864672617367 3
0.344678443073 0.707022496491 3
0.128584834563 0.664527428144 2
0.524569493235 0.922592287832 3
0.453978449585 0.963768318123 2
0.967978723384 0.926533814809 1
0.434993697096 0.379552765311 1
0.351625181762 0.39239518012 3
0.663881355353 0.622224675647 1
0.0654121367217 0.274666315116 2
0.971596266954 0.964069347168 1
0.819526646346 0.0508015570066 1
0.555988731319 0.185986222588 1
0.131411256012 0.296338043822 3
0.855201631065 0.669788330744 1
0.243015683386 0.264323183768 3
0.443581886179 0.320190350458 1
0.640995971752 0.32082516675 1
0.519867437564 0.361556191515 1
0.326388651219 0.784102511825 3
0.0168792970276 0.950410223871 2
0.0585298143173 0.664228426117 2
0.337280431904 0.884815167344 2
0.426779859987 0.247744511662 1
0.161401113196 0.755672761744 2
0.989955795934 0.0297763242445 1
0.78975133162 0.273874125953 1
0.171656593052 0.642002373637 2
0.846453602299 0.129151316766 1
0.937035129385 0.276092890683 1
0.522579806855 0.415203481781 1
0.424238779459 0.985285669839 2
0.294498374299 0.785222520458 2
0.546175013747 0.377408467692 1
0.808687481364 0.361122546845 1
0.959842420287 0.474850613355 1
0.941309868046 0.70431109633 1
0.0462686955462 0.689631519666 3
0.477483437509 0.0484288795892 1
0.0230507404441 0.774741268962 2
0.178955684728 0.580433119023 2
0.280839411892 0.299567467001 3
0.748225507261 0.36102335703 1
